Metric,Minimum_Time,No_Res_Suppression,Resonance_Suppression
Cycle Time [s],0.576,0.58,0.58
Time Increase vs Tmin [%],0,0.694444444444426,0.694444444444426
Max Contour Error [mm],0.0981896194227794,0.0996367274714096,0.099639932379155
Contour RMSE [mm],0.0435792364027289,0.0419437340326997,0.0447519989041975
Max Line Error [mm],0.0500001043692748,0.0500000760753565,0.0500000850547906
Max Corner Sagitta [mm],0.0981896194227794,0.0996367274714096,0.099639932379155
Max |Vx| [mm/s],256.814234885359,255.164960555624,254.397592732593
Max |Vy| [mm/s],257.454550830158,255.164960565636,254.397595413291
Max |Ax| [mm/s^2],5088.11566600423,5065.30243091462,5066.29209724893
Max |Ay| [mm/s^2],5101.62407582751,5065.30243091871,5066.2916262023
Max |Jx| [mm/s^3],199999.816924971,199999.991099347,199999.991837338
Max |Jy| [mm/s^3],199999.097785773,199999.991099348,199999.992693488
Max |Snapx| [mm/s^4],6999992.33126131,6999999.6167591,6999999.67675949
Max |Snapy| [mm/s^4],6999962.23577312,6999999.6167591,6999999.69139457
Max |Cracklex| [mm/s^5],1629782131.19425,1660835016.18156,1669212127.28959
Max |Crackley| [mm/s^5],1644359307.57759,1660835016.10375,1669077990.81426
Max |POPx| [mm/s^6],199999169609.749,199999953425.198,199999959932.465
Max |POPy| [mm/s^6],199996147285.783,199999953425.198,199999961435.105
Straightness Objective,4.14185895840046e-05,2.3044970178129e-05,3.93937270916696e-05
Vibration Objective,4.83374321325751,4.8949954998052,3.99491438978549
Modal Energy Contribution,2.48239788547671,2.49099892029405,1.96777147332629
Modal Peak Contribution,0.780766054408147,0.79367907192633,0.644631359601003
Acceleration RMS Contribution,0.107578006126883,0.10569698935049,0.104205980768432
Acceleration Peak Contribution,0.101897397418317,0.101306048618333,0.101325837234512
Jerk RMS Contribution,0.211141362958883,0.203314478516656,0.20211459498287
Jerk Peak Contribution,0.199999457355372,0.199999991099348,0.199999992265413
Resonance Band Contribution,0.949963049513197,1,0.774865151606963
Modal RMS X,0.888696364435385,0.886208281773305,0.817186429223749
Modal RMS Y,0.753827717006216,0.758212833245214,0.65182676548317
Modal Peak X,1.96565887241404,1.98104627402829,1.79447089749293
Modal Peak Y,1.98591181611406,2.00305925509505,1.79615917837505
10 Hz Band Energy X,0.414373545569193,0.43164291673768,0.382601644257638
10 Hz Band Energy Y,0.197118131569469,0.201350213581202,0.107882673633069
10 Hz Energy Reduction [%],NaN,0,22.5134848393036
Maximum Error Utilisation,1.0000020873855,1.00000152150713,1.00000170109581
Mean Error Utilisation,0.538130933238601,0.559178647407699,0.566806458984364
Line Region Utilisation,0.572389221976035,0.659533942610821,0.602888834995805
Corner Region Utilisation,0.500769538637269,0.450550335037295,0.526656615131634
