Solution,index,entry_time,exit_time,minimum_speed,maximum_speed,max_error,max_vx,max_vy,max_acceleration,max_jerk,max_snap,max_modal_response
Minimum Time,1,0.561,0.576,1.1369081496741e-07,1.29080627936636,0.0021995988189223,1.05881201628294,0.780481041261113,358.313329704824,68224.5623875346,7376797.18706542,0.0266806119246475
Minimum Time,2,0.142,0.171,28.6126695599087,108.416622268693,0.0970498696814559,108.101236939867,52.588073901587,5030.10018672045,233305.358693229,9899494.92465066,0.51335559881712
Minimum Time,3,0.273,0.3,40.6786925951552,90.8907000245748,0.0840018592645855,81.1897394143867,90.8664960662588,5010.66625303073,214832.290145228,9873083.27830966,0.493541993701196
Minimum Time,4,0.404,0.434,26.3740933265585,108.427587021291,0.0980879249069062,52.4695336415014,108.116321477232,5029.78418113258,237365.275712925,9899494.25476473,0.50459159158878
No Resonance Suppression,1,0.572,0.587,1.5838836311805e-08,1.10361030306729,0.00115819461047433,1.05879180434967,0.780476130054158,312.475340196886,63589.5732238657,7355443.20064494,0.0254731571662773
No Resonance Suppression,2,0.142,0.172,25.4267636104809,108.145954264354,0.0980586318884846,108.116116067876,46.3856655826787,5028.31466536566,244221.048038222,9899340.32209374,0.513145770037725
No Resonance Suppression,3,0.28,0.308,30.7509241436769,74.7971621558172,0.0557144680928694,74.7965480408693,72.4415876809985,4555.19150154938,239731.011987486,9899194.24136996,0.451684967728056
No Resonance Suppression,4,0.415,0.445,26.1829249232363,108.146628603,0.097800004685034,48.1269770366965,108.112383792345,5028.63543624336,243042.641496028,9899376.7872799,0.508546711877091
50 Hz Suppression,1,0.572,0.587,1.24055240885168e-10,1.06935901609984,0.000522898915534184,1.05878865516632,0.780473503195641,310.483986134841,63642.7950839157,7030944.08844892,0.0249943760278863
50 Hz Suppression,2,0.142,0.172,25.3805077290052,108.158191076951,0.098174752381162,108.11893579014,46.2337572711373,5028.01791212049,241200.751834615,9897603.34183721,0.513115090842631
50 Hz Suppression,3,0.28,0.308,36.840615070378,79.9015342686021,0.0996046352056332,79.5791726401153,79.895653796899,4590.37374866775,225696.44170277,9895015.81194367,0.467072357596382
50 Hz Suppression,4,0.415,0.445,26.5859324781058,108.152106541507,0.0976841439125344,48.8311471791098,108.111565803295,5028.68464302856,239777.839877204,9897264.54054217,0.511024935192249
