N,Time_s,Nvec,LambdaVibration,NoSuppressionJvibration,SuppressedJvibration,NoSuppressionJstraightness,SuppressedJstraightness,NoSuppressionJvibrationTimeDomain,SuppressedJvibrationTimeDomain,NoSuppressionModalEnergy,SuppressedModalEnergy,NoSuppressionModalPeakSquared,SuppressedModalPeakSquared,NoSuppressionAccelerationRMSX,NoSuppressionAccelerationRMSY,SuppressedAccelerationRMSX,SuppressedAccelerationRMSY,NoSuppressionAccelerationPeakX,NoSuppressionAccelerationPeakY,SuppressedAccelerationPeakX,SuppressedAccelerationPeakY,NoSuppressionJerkRMSX,NoSuppressionJerkRMSY,SuppressedJerkRMSX,SuppressedJerkRMSY,NoSuppressionJerkPeakX,NoSuppressionJerkPeakY,SuppressedJerkPeakX,SuppressedJerkPeakY,NoSuppressionResonanceBandContribution,SuppressedResonanceBandContribution,NoSuppressionBandEnergy,SuppressedBandEnergy,BandReductionPercent,NoSuppressionMaxContourError_mm,SuppressedMaxContourError_mm,NoSuppressionFeasible,SuppressionFeasible,NoSuppressionStatus,SuppressionStatus,Jvibration,Feasible,ParetoOptimal,NormalizedTime,NormalizedVibration,UtopiaDistance,IsMinimumTime,IsKnee,IsMinimumVibration
576,0.576,[158 128 132 158],1,4.994082799822,4.83374321325751,4.00790659268383e-05,4.14185895840046e-05,3.994082799822,3.88378016374432,2.57308546801219,2.48239788547671,8.00381954360071,7.80766054408147,0.268522852404284,0.269444373529683,0.268363868331688,0.269526162302726,0.50977168831452,0.510559808689637,0.508811566600423,0.510162407582751,0.525765271298977,0.529178631671295,0.524123756266228,0.531583058528185,1.00000001000142,1.00000000968334,0.999999084624853,0.999995488928867,1,0.949963049513197,0.643700486510521,0.611491677138662,5.00369504868034,0.0980874592694967,0.0981896194227794,1,1,Solved_To_Acceptable_Level,solver_timeout_but_feasible,4.83374321325751,1,1,0,1,1,1,0,0
577,0.577,[158 129 132 158],1,4.89702734460603,4.35911580667777,2.82456482656258e-05,3.90422159810777e-05,3.89702734460603,3.49453263325198,2.49474790310323,2.18051941179509,7.87988289129801,7.01074572575613,0.265222346972111,0.267692628368666,0.261562158920183,0.267741309382841,0.506598951679429,0.50701088339982,0.506610185300257,0.506628934195252,0.512009036467825,0.51972685683392,0.507170088032735,0.521600161006384,0.999999996647803,0.999999954717835,0.999999971663952,0.999999962969059,1,0.864583173425791,0.624448139758488,0.539887354312226,13.5416826574209,0.0996176902223027,0.0996399566805444,1,1,Solve_Succeeded,Solve_Succeeded,4.35911580667777,1,1,0.0909090909090817,0.686003207444011,0.692000623867772,0,0,0
578,0.578,[158 130 132 158],1,4.88971872659176,4.23127340693396,2.55816710632513e-05,3.90916611786547e-05,3.88971872659176,3.39701591070891,2.48817926926464,2.10435741851366,7.88935133012409,6.81694795315707,0.264866199992576,0.266299722601144,0.261180774119701,0.265215821530482,0.506577186303207,0.506575249176189,0.506616630267071,0.506629012898479,0.510500022629235,0.514779487237457,0.50651778109251,0.515281320311733,0.999999988060412,0.999999954686481,0.999999968098972,0.999999963422112,1,0.834257496225049,0.625305009880488,0.521665391919875,16.5742503774951,0.0996365013358407,0.0996399530527441,1,1,Solve_Succeeded,Solve_Succeeded,4.23127340693396,1,1,0.181818181818174,0.601427173873828,0.628309236533672,0,0,0
579,0.579,[158 131 132 158],1,4.88762922516527,4.10989221132806,2.40009029714976e-05,3.92864457632589e-05,3.88762922516527,3.30528225517843,2.48620324936328,2.03313935033601,7.90144778764044,6.62908058587644,0.264554147442263,0.265118379577296,0.26081684682905,0.262816540291535,0.506556378574719,0.506542764571303,0.50662320260823,0.506629090328817,0.50931448602269,0.510869435393392,0.506022096305339,0.509892637144349,0.999999974632331,0.999999955729772,0.999999964622876,0.999999963847319,1,0.804609956149631,0.627987464254465,0.505284966076303,19.5390043850369,0.0996373014297163,0.0996399500261873,1,1,Solve_Succeeded,Solve_Succeeded,4.10989221132806,1,1,0.272727272727265,0.521125645625564,0.588176932408874,0,0,0
580,0.58,[158 132 132 158],1,4.8949954998052,3.99491438978549,2.3044970178129e-05,3.93937270916696e-05,3.89499549980521,3.22004923817852,2.49099892029405,1.96777147332629,7.9367907192633,6.44631359601003,0.26424247337273,0.264242473379722,0.260469699033783,0.260560204808376,0.506530243091462,0.506530243091871,0.506629209724893,0.50662916262023,0.508286196275854,0.508286196307423,0.505526675114029,0.505046299800321,0.999999955496737,0.999999955496738,0.999999959186692,0.999999963467441,1,0.774865151606963,0.632993130318882,0.490484317890707,22.5134848393036,0.0996367274714096,0.099639932379155,1,1,Solve_Succeeded,Solve_Succeeded,3.99491438978549,1,1,0.363636363636357,0.445060364356606,0.574726137286193,0,1,0
581,0.581,[158 133 132 158],1,4.91049477264083,3.88729482321328,2.23493517880662e-05,3.99308099602856e-05,3.91049477264083,3.13958287975505,2.50221871475328,1.90613500107037,7.98539181222018,6.27248874560997,0.263977510178614,0.263649775599645,0.260152674071069,0.258376967137605,0.506518188432584,0.506529825342878,0.506634893565465,0.506629226700907,0.507613843827978,0.506919296408461,0.505122105970318,0.500711254601354,0.999999945277568,0.999999955572853,0.999999954020806,0.999999963388973,1,0.747711943458225,0.639851428124308,0.478424554847347,25.2288056541775,0.0976356066519344,0.0996399133520356,1,1,Solve_Succeeded,Solve_Succeeded,3.88729482321328,1,1,0.454545454545449,0.373863045677829,0.588544940655708,0,0,0
582,0.582,[158 133 133 158],1,4.92369237022805,3.76643415965451,2.1652893976204e-05,4.04574430425989e-05,3.92369237022805,3.04908894278024,2.51251464464944,1.8377421738074,8.01995297665058,6.06552113780811,0.263403402712414,0.263403402772583,0.258026185472797,0.25803289721114,0.506517359568919,0.506517359571458,0.506634934864513,0.506634898553719,0.506294014618315,0.506294014606034,0.500822284082362,0.500457035507886,0.999999945288216,0.999999945288215,0.999999953622123,0.999999960331545,1,0.717345216874271,0.64618833714314,0.46354011284957,28.2654783125729,0.0976401785276124,0.0996399052906831,1,1,Solve_Succeeded,Solve_Succeeded,3.76643415965451,1,1,0.545454545454541,0.293905883117169,0.619597715689707,0,0,0
583,0.583,[158 134 133 158],1,4.93071100721866,3.67242220987299,2.10766056024527e-05,4.08248027615819e-05,3.93071100721866,2.97697165842519,2.51733640594703,1.78334173369551,8.04695190998935,5.90134320644856,0.263169166738641,0.262902972415694,0.257806334517361,0.255987222913083,0.506504927947858,0.506513905714381,0.506638068129064,0.50663490376763,0.505743282188698,0.505072271401076,0.500474464310089,0.496573558923355,0.999999937766056,0.999999945810401,0.999999946945476,0.999999960678326,1,0.695450551447791,0.651236373953997,0.452902695389167,30.4549448552209,0.0977087551983367,0.0996398702507442,1,1,Solve_Succeeded,Solve_Succeeded,3.67242220987299,1,1,0.636363636363633,0.231710884926782,0.677236008995017,0,0,0
584,0.584,[158 134 134 158],1,4.93662094961067,3.56285140883538,2.05001406168729e-05,4.1510964459503e-05,3.93662094961067,2.89404397227075,2.5223123828608,1.72179852563624,8.06115507465168,5.69948703777157,0.262670464600197,0.262670464600186,0.255866025041701,0.255667212018213,0.506504532401267,0.506504532401254,0.506638131595254,0.50663823824109,0.504559947950389,0.504559947950279,0.49721145122199,0.496100889014503,0.999999938921171,0.999999938921171,0.999999947154961,0.999999956989401,1,0.668807436564631,0.656053769596358,0.438773639892303,33.1192563435369,0.0977109354224446,0.0996399255164384,1,1,Solve_Succeeded,Solve_Succeeded,3.56285140883538,1,1,0.727272727272725,0.159222698179355,0.744498144692262,0,0,0
585,0.585,[158 135 134 158],1,4.9377866574539,3.48563161417053,2.00246915125837e-05,4.16031046171119e-05,3.9377866574539,2.83275306092214,2.52286766983808,1.67604896182777,8.07166152788969,5.5559272413545,0.262434935094541,0.262225516331073,0.255708531463113,0.253755795217233,0.506488360745341,0.506504044404043,0.506634681771939,0.506638330048656,0.504070609112304,0.503536972133139,0.496563550402536,0.492892542437324,0.999999936607481,0.999999941169521,0.999999941202673,0.9999999575255,1,0.652878553248388,0.659941349164954,0.430861553271605,34.7121446751612,0.097800135006171,0.09963990567962,1,1,Solve_Succeeded,Solve_Succeeded,3.48563161417053,1,1,0.818181818181816,0.10813679898672,0.825296949526894,0,0,0
