N,Time_s,Nvec,LambdaVibration,NoSuppressionJvibration,SuppressedJvibration,NoSuppressionBandEnergy,SuppressedBandEnergy,BandReductionPercent,NoSuppressionMaxContourError_mm,SuppressedMaxContourError_mm,NoSuppressionFeasible,SuppressionFeasible,NoSuppressionStatus,SuppressionStatus
576,0.576,[158 128 132 158],1,1.82860110010961,1.42867837689278,2.1131524471583e-05,1.26851049909765e-05,39.9707058142679,0.0980899958334973,0.0980889089626871,1,1,Solve_Succeeded,Solve_Succeeded
577,0.577,[158 129 132 158],1,1.81782728692607,0.81803759220657,2.61383534702977e-05,9.34572673491833e-08,99.6424515895564,0.0996176860669031,0.0996362768761188,1,1,Solve_Succeeded,Solve_Succeeded
578,0.578,[158 130 132 158],1,1.81524121482242,0.812561168949593,2.74042023963737e-05,5.77581455103701e-08,99.7892361737994,0.0996365003466977,0.0996375687237077,1,1,Solve_Succeeded,Solve_Succeeded
579,0.579,[158 131 132 158],1,1.81296365392294,0.810009429034789,1.57674707818685e-05,3.4870922201525e-08,99.7788426394826,0.0996373008633427,0.0996375907004534,1,1,Solve_Succeeded,Solve_Succeeded
580,0.58,[158 132 132 158],1,1.81101384510398,0.808167126795592,7.45744269501918e-06,2.13822351601066e-08,99.7132765743626,0.0996367267878853,0.0996375219095675,1,1,Solve_Succeeded,Solve_Succeeded
581,0.581,[158 133 132 158],1,1.8097723829155,0.804560624719428,7.76034418606455e-06,2.0652999310675e-08,99.7338649057891,0.0976356068935473,0.0996373426991788,1,1,Solve_Succeeded,Solve_Succeeded
582,0.582,[158 133 133 158],1,1.80872496853594,0.800746792406575,9.48956035445368e-06,2.01321514940608e-08,99.7878494815135,0.0976401797924282,0.0996373160314619,1,1,Solve_Succeeded,Solve_Succeeded
583,0.583,[158 134 133 158],1,1.80765643993836,0.797479822526929,9.71983854575603e-06,1.91017143547102e-08,99.8034770406444,0.0977087553545815,0.099637170608073,1,1,Solve_Succeeded,Solve_Succeeded
584,0.584,[158 134 134 158],1,1.80674437380784,0.79421719810308,1.09556666891871e-05,1.98884836134363e-08,99.8184639586282,0.0977109353778118,0.0996371250573276,1,1,Solve_Succeeded,Solve_Succeeded
585,0.585,[158 135 134 158],1,1.8058128510063,0.791131814121332,1.19032341450296e-05,1.95570378709267e-08,99.8356997969405,0.0978001334789838,0.0996369558406762,1,1,Solve_Succeeded,Solve_Succeeded
586,0.586,[158 135 135 158],1,1.80501008704239,0.788317477439668,1.19083113598144e-05,1.94524367356267e-08,99.8366482354394,0.0977959460241422,0.0996369338809586,1,1,Solve_Succeeded,Solve_Succeeded
587,0.587,[158 136 135 158],1,1.80422557044416,0.785504514592114,1.240882112774e-05,1.88203476179338e-08,99.8483308976397,0.0980586318884846,0.0996367755212937,1,1,Solve_Succeeded,Solve_Succeeded
