time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,1.13295630774021e-12,-2.47543385377342e-14,7.1164501048629e-11,-2.96425964303504e-12,1.14568072488266e-09,-2.12543394350128e-11,9.69278317353434e-09,-8.39244269733392e-11,9.02058811152432e-08,-6.80873162004442e-10,0.293735767427346,-0.00273301714903074,0.000258513504422464,-2.46874653297388e-06,2.47543385377342e-14,0.1,2.47543385377342e-13,-8.14575684855269e-17,2.51468396627436e-16
0.001,2.33765383377097e-12,-5.24836006787873e-14,1.42701337399124e-10,-5.9344581153479e-12,2.32170947530123e-09,-4.19577744594712e-11,1.65891105237151e-07,-1.5267549886452e-09,0.000293904713158092,-2.73428244062171e-06,0.518604826099265,-0.00495078535771807,199999933121.651,-198827417757.836,5.24836006787873e-14,0.1,5.24836006787873e-13,7.5478720524587e-17,5.17095705427838e-16
0.002,2.81392201239591e-10,-2.76232385116191e-10,1.6668806740028e-06,-1.65690405913996e-06,0.00833333435710285,-0.00828447580465577,33.3333229148389,-33.1379029664436,99999.9673734026,-99413.7088866037,199999933.805499,-198827417.764565,199999905800.477,-197620371949.03,2.76232385116191e-10,0.1,2.76232385116191e-09,1.0961609635152e-10,-1.08971734737298e-10
0.003,1.77827358982445e-08,-1.76719886857945e-08,5.33336024200091e-05,-5.30105979190622e-05,0.133333293729793,-0.132501318357675,266.666574832772,-264.902049393562,399999.854079197,-397051.312625684,399999839.720393,-396447789.715002,199999857341.4,-192369628197.951,1.76719886857945e-08,0.1,1.76719886857945e-07,7.0113730002113e-09,-6.96960256732979e-09
0.004,2.02506317441973e-07,-2.01198328416486e-07,0.000405000218783956,-0.000402259900786611,0.6749997639795,-0.670019056875028,899.999658337015,-892.238861576459,899999.622470337,-889683.916439662,599999697.133753,-588817417.914048,199999754475.634,181021288600.62,2.01198328416486e-07,0.0999999999999985,2.01198328416489e-06,7.98071303532007e-08,-7.92940538815655e-08
0.005,1.13778525341041e-06,-1.12889981586891e-06,0.00170666646770888,-0.00168970459241807,2.13333250718495,-2.09769355931439,2133.33242179438,-2046.16127220642,1599999.19684194,-1387990.6900534,799999451.646841,-407796129.314265,199999429182.695,193253960421.269,1.12889981586891e-06,0.0999999999999515,1.12889981586945e-05,4.48027071162094e-07,-4.44530096991103e-07
0.006,4.34028558358401e-06,-4.26944092961773e-06,0.00520833175698281,-0.00505719162810012,5.20833107987194,-4.89776394976365,4166.664582664,-3605.84103351345,2499998.36308016,-1699159.83915703,999998880.840026,-214542168.893622,169230377896.28,194581496425.154,4.26944092961773e-06,0.0999999999992936,4.26944092964789e-05,1.70739300671208e-06,-1.67948753370241e-06
0.007,1.29599630752297e-05,-1.24488039889002e-05,0.0129597384604992,-0.0120483871485673,10.7987125909166,-9.38083436866704,7194.86744915365,-5379.84170771314,3584612.43286835,-1816411.25983807,1169229258.72697,-19960672.4689241,-199999186631.319,194470130506.145,1.24488039889002e-05,0.0999999999937015,0.000124488039896843,5.09246172524323e-06,-4.89113108431297e-06
0.008,3.26770281908797e-05,-3.01598286752012e-05,0.0280003714719359,-0.0244210886941617,19.9724245011115,-15.664105562952,11330.76131362,-7173.82161536801,4653842.09827967,-1739136.86705393,969230072.073259,174509458.0369,-199999492351.46,193447919213.417,3.01598286752012e-05,0.0999999999599584,0.000301598286872777,1.2823717591826e-05,-1.18328784871166e-05
0.009,7.27537824928871e-05,-6.3679348224466e-05,0.0544525349673362,-0.0439530779186989,33.7833118979386,-23.6703503722182,16435.885199217,-8793.46243353461,5523072.42417721,-1467903.44941032,769230579.692719,367957377.250101,-199999554530.015,191069760240.503,6.3679348224466e-05,0.0999999998015131,0.000636793483508611,2.85109427962552e-05,-2.49422207950188e-05
0.01,0.000147073549237364,-0.000120991009383865,0.0974046862099364,-0.0722478862799614,53.1006050919653,-33.1284770609165,22310.2396541579,-10045.5422342798,6192303.22660491,-1004411.19203997,569231025.132954,559027137.490467,-199999519223.357,185265913891.453,0.000120991009383865,0.0999999991888912,0.00120991010365234,5.75449943260695e-05,-4.72989604570738e-05
0.011,0.00027500939085114,-0.000211514325851172,0.162714513025918,-0.110541699646049,78.5935348844993,-43.5753342885648,28753.8251401307,-10739.5622052593,6661534.49212618,-352751.097603772,369231505.884833,744293051.381842,-199999334460.632,162453122753.041,0.000211514325851172,0.0999999971641288,0.00211514331849446,0.000107414480968052,-8.25046478250733e-05
0.012,0.00048209333973182,-0.000345641889591436,0.256808934275869,-0.159513240902966,110.731332550232,-54.3604543206223,35566.6421627942,-10693.0912567133,6930766.33078068,472768.515154591,169232171.409736,906746174.134847,-199998151241.433,-127973278395.642,0.000345641889591436,0.099999991285876,0.00345641919711101,0.000187934747382928,-0.000134484647772626
0.013,0.000800485629532895,-0.000534090462390001,0.386484100379543,-0.219104731455323,149.78322998482,-64.6713691773426,42548.6915540775,-9788.27853422395,6999999.42656968,1315528.05009162,-30765979.830889,778772895.739198,61523139353.2137,-174670843021.103,0.000534090462390001,0.0999999759772651,0.00534090590693167,0.000311388280801608,-0.000207216067019047
0.014,0.00126924429033856,-0.000787101197369959,0.558707573549823,-0.288419991946826,195.829357053795,-73.679366155696,49543.5618472949,-8112.47584343292,6999995.01641539,2006965.52432026,30757159.5222648,604102052.718107,-61508896305.2684,-182171930318.719,0.000787101197369959,0.099999939613769,0.00787101672670993,0.0004925763526621,-0.000304396700761689
0.015,0.00193441564119578,-0.00111362454699591,0.78047614639713,-0.365797448952928,248.875479732626,-80.6952660586174,56548.6839607579,-5833.82128114006,6999997.72778502,2519981.61187901,-30751736.7822474,421930122.399409,61495070757.4785,-184358946481.85,0.00111362454699591,0.0999998597668362,0.0111362610866903,0.000748790012949871,-0.000429109890192062
0.016,0.00284904580496965,-0.00152063367328566,1.05879186559357,-0.448973584621581,308.921599563159,-85.2064564695256,63543.5549986151,-3133.60109914166,6999993.52638151,2849732.2610375,30743333.975121,237571175.917584,-61478800011.0202,-184430236420.591,0.00152063367328566,0.0999996958992486,0.0152063829755815,0.00109974022379188,-0.000583543299978903
0.017,0.00407318090118168,-0.00201261229056571,1.40065267695088,-0.535263524385255,375.967713598001,-86.8832808353498,70548.6737253191,-195.821622882137,6999997.46035111,2995088.31874478,-30735466.0351917,53140939.4970176,61458064112.2739,-182945237518.401,0.00201261229056571,0.0999993786896173,0.0201262479521253,0.00156747416783823,-0.000768780687329658
0.018,0.00567386704414245,-0.00259122510823336,1.81306062521854,-0.621744844984977,450.013824229178,-85.5803241938425,77543.5464633412,2795.34629269142,6999991.02637206,2956756.6394826,30722598.0769248,-129804298.021361,-61432953053.1327,-179590998479.318,0.00259122510823336,0.0999987950544472,0.0259125633146129,0.00217628248324911,-0.000984670518509899
0.019,0.00772515034400996,-0.00325517235723233,2.30301365607421,-0.705441608364626,531.059926933002,-81.3357165893519,84548.6599632458,5657.26895008345,6999997.14792241,2737156.84222158,-30710354.975546,-309395296.500661,61398416743.1738,-173066258945.106,0.00325517235723233,0.0999977678397201,0.0325524501951867,0.00295259788826474,-0.00122977234237799
0.02,0.0103080769039146,-0.00400022771622021,2.87751381129158,-0.783506831362509,619.106025345716,-74.3686461950319,91543.5350031402,8210.88376756385,6999986.00131845,2341228.41624836,30688061.7674265,-482461555.445753,-61354565769.2353,-159460667883.223,0.00400022771622021,0.099996029074391,0.0400038656859492,0.00392488561713609,-0.00150138066737084
0.021,0.0135106928214484,-0.00481945708087914,3.54355903590898,-0.853401262342299,714.152111586852,-65.0742026730809,98548.6392743832,10284.3046281088,6999996.78020126,1779036.526861,-30666504.0011895,-641922223.328967,61281229700.8737,-123570824384.767,0.00481945708087914,0.0999931856220548,0.0481978551928058,0.00512352611981073,-0.00179562504541886
