time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,8.8133881588648e-09,-4.27613104018137e-13,5.48710276448577e-07,-9.36950079370566e-12,9.00671024629778e-06,-5.69174025034703e-11,7.66293149542983e-05,-1.91844875545281e-10,0.000714021298300758,-1.21757969937788e-09,2326.05049802987,-0.00313710880787683,2.04723540446385,-2.67117545768495e-06,4.27613104018137e-13,0.1,4.27613104018137e-12,-2.58314708272075e-20,-2.5219053116057e-20
0.001,1.81800221235663e-08,-8.64624225698842e-13,1.10105581638435e-06,-1.85288876381507e-11,1.82596989220487e-05,-1.10855814501367e-10,0.00131343930738701,-1.93143764228765e-09,2.32738788209777,-3.13932393377048e-06,4106.94637525918,-0.00537246772569553,200000001946.811,-199954606468.773,8.64624225698842e-13,0.1,8.64624225698842e-12,4.4214001545907e-11,-2.78022607758605e-16
0.002,2.83817238229204e-08,-2.79025553349373e-10,3.32489615948109e-06,-1.66631586368043e-06,0.00836332688390337,-0.00833144210108691,33.3390975565384,-33.3257677527017,100006.435842626,-99977.3032428989,200005417.70797,-199954606.475649,200000001924.671,-199929726612.022,2.79025553349373e-10,0.1,2.79025553349373e-09,2.95254599635309e-09,-2.73121113758193e-09
0.003,5.63696122520122e-08,-1.77754742377288e-08,5.55579312195124e-05,-5.33210572742464e-05,0.133381570226756,-0.133302034542836,266.681642119632,-266.601995335558,400011.85496472,-399896.773024559,400006325.97391,-399884333.088591,200000001886.078,-199876468599.774,1.77754742377288e-08,0.0999999999999999,1.77754742377288e-07,1.7423617745799e-07,-1.73567213556038e-07
0.004,2.52156981539333e-07,-2.0245398347724e-07,0.000407809250553421,-0.000404901044406445,0.675078340625997,-0.674827991473211,900.030056630472,-899.753679671154,900018.182254262,-899719.340413038,600006897.946764,-599760801.688834,200000001805.593,-199706243427.24,2.0245398347724e-07,0.0999999999999976,2.02453983477245e-06,1.95816212837091e-06,-1.95628561683856e-06
0.005,1.19910239284543e-06,-1.13749208015908e-06,0.00171009378453516,-0.00170621335924954,2.13345990826567,-2.13272256848134,2133.38508118705,-2132.63779483325,1600025.08140056,-1599333.26381549,800007196.502192,-799467045.116203,200000001545.159,180758332230.804,1.13749208015908e-06,0.0999999999999461,1.13749208015969e-05,1.08443355539122e-05,-1.08388011106992e-05
0.006,4.41391591599765e-06,-4.33855684186367e-06,0.00521243305239281,-0.00520361518432729,5.2085331257463,-5.19073990560177,4166.74715099134,-4101.57819250178,2500032.27890175,-2308421.1428163,1000007281.1655,-618708712.885284,169218510390.357,199592102160.673,4.33855684186367e-06,0.0999999999992694,4.33855684189537e-05,4.06490169362161e-05,-4.06274981545867e-05
0.007,1.30466232092455e-05,-1.29222016809936e-05,0.0129645990882881,-0.0128539973130002,10.799022591927,-10.5413304507692,7194.98620905202,-6686.08834140068,3584648.81542144,-2827333.80462124,1169225717.60908,-419116610.724334,-200000001352.537,199748338153.782,1.29222016809936e-05,0.099999999993617,0.000129222016818185,0.00011887807928422,-0.000118502610135572
0.008,3.27775374869936e-05,-3.22822334892595e-05,0.0280061119810348,-0.0272253928651003,19.9728781495491,-18.7026156155418,11330.9146002613,-9689.68906169184,4653874.53244953,-3146576.24626868,969225538.762761,-219368272.570178,-200000001595.457,199790653065.307,3.22822334892595e-05,0.0999999999597117,0.000322822335022655,0.000292607550797117,-0.000288784774291399
0.009,7.28690982382211e-05,-7.06065406922069e-05,0.0544593100640249,-0.0513047578154119,33.7839413929827,-29.9938295686128,16436.0686161467,-12912.6510020681,5523100.07044971,-3266049.19230621,769225306.675328,-19577619.5044541,-200000001644.892,199800240140.734,7.06065406922069e-05,0.0999999998008834,0.000706065408327963,0.00063389185600847,-0.000613435089283112
