time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,6.37675286051979e-12,-1.4371914570398e-14,3.48655167029802e-10,-5.88368243264121e-13,6.49618899160998e-09,-9.3710177887229e-13,5.55985756857237e-08,1.11141604353072e-12,5.18339724752121e-07,1.83216675516493e-11,1.68881032606148,5.70554813137051e-05,0.00148640172446897,4.97772897578343e-08,1.4371914570398e-14,0.1,1.4371914570398e-13,1.13744823631963e-16,-3.26332148072934e-16
0.001,1.31054244095333e-11,-2.93326652719637e-14,7.07743695159924e-10,-1.1686882056275e-12,1.31881763449161e-08,-1.62478242247741e-12,9.53550785124675e-07,3.10954359141643e-11,0.00168978122043218,5.70905783005311e-08,2.98185624470721,9.9768668345775e-05,199999941640.505,-199886689949.784,2.93326652719637e-14,0.1,2.93326652719637e-13,1.46418339485297e-15,-6.53869299118921e-16
0.002,2.97974455623766e-10,-2.77665276780077e-10,1.66775032757019e-06,-1.66572415693532e-06,0.00833335259448348,-0.00832861208326554,33.3333277915267,-33.3144483248243,99999.9754922784,-99943.3449747352,199999945.572673,-199886689.949654,199999917694.369,-199825094203.933,2.77665276780077e-10,0.1,2.77665276780077e-09,1.096219138228e-10,-1.09554060763705e-10
0.003,1.78054419752919e-08,-1.77676812113222e-08,5.33348022200153e-05,-5.33026063260915e-05,0.133333328356563,-0.133255226812501,266.666595733932,-266.505320641707,399999.879912464,-399742.582026356,399999863.925142,-399711784.153569,199999875220.382,-199693434906.454,1.77676812113222e-08,0.1,1.77676812113222e-07,7.01138960989476e-09,-7.0073674611375e-09
0.004,2.02535489202685e-07,-2.02379693201167e-07,0.000405001782195077,-0.000404753027313563,0.674999842074091,-0.674571028947497,899.999720191367,-899.386033895922,899999.681448068,-899301.083633153,599999739.559479,-599405219.060014,199999785057.143,-199274413322.388,2.02379693201167e-07,0.0999999999999985,2.0237969320117e-06,7.98071711307715e-08,-7.97597057731102e-08
0.005,1.13782128457545e-06,-1.13705861367177e-06,0.00170666846263649,-0.00170553642526319,2.13333268971432,-2.13181157505834,2133.33256897204,-2131.60212927948,1599999.31353633,-1598343.50935436,799999524.832107,-798679632.382401,199999499927.245,138627045509.086,1.13705861367177e-06,0.0999999999999515,1.13705861367232e-05,4.48027167613289e-07,-4.47743965700212e-07
0.006,4.34032897482473e-06,-4.3368286346457e-06,0.00520833433855052,-0.00520166274302483,5.20833148769449,-5.18992260418227,4166.66489495336,-4106.18094724019,2499998.58833223,-2327709.61898222,999999024.819709,-660052586.873319,169230418501.417,198982521198.798,4.3368286346457e-06,0.0999999999992936,4.33682863467634e-05,1.70739323316359e-06,-1.70603590487491e-06
0.007,1.29600145584231e-05,-1.29200281597424e-05,0.0129597419540785,-0.0128584714279595,10.7987134538442,-10.5616761870088,7194.86806548454,-6730.75310612593,3584612.82240276,-2888270.94525614,1169229443.26743,-461070065.674529,-199999287259.29,199373382134.976,1.29200281597424e-05,0.0999999999937015,0.000129200281605561,5.09246224773341e-06,-5.07672866401458e-06
0.008,3.26770889632514e-05,-3.23050398457236e-05,0.0280003765092701,-0.027284452467309,19.9724262060815,-18.8051025524524,11330.7623950145,-9816.33018719684,4653842.62204061,-3249654.31986318,969230155.879241,-261696683.539563,-199999555225.031,199478728088.693,3.23050398457236e-05,0.0999999999599582,0.000323050398586591,1.28237187595453e-05,-1.26771564193134e-05
0.009,7.27538546015311e-05,-7.0765404650065e-05,0.054452542638211,-0.0515485708729247,33.7833149617927,-30.2815643998331,16435.8868358252,-13163.5863941483,5523073.00030736,-3411611.63935839,769230600.486821,-62217955.4508807,-199999609712.5,199502205677.908,7.0765404650065e-05,0.0999999998015127,0.000707654047905253,2.85109452912875e-05,-2.77280892119904e-05
