time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,0,0,0,3.21768550160706e-32,0,-2.64316159615744e-26,-2.52940723659634e-17,0,0,0,0,0,0,0,0,0.1,0,0,-1.62104854768289e-33
0.001,-6.50517593065601e-25,-1.31122018986609e-32,7.12695922358096e-22,-2.60721836580404e-29,-1.65354772912168e-18,-2.64316159615744e-26,-2.52940723659634e-17,0,0,-1.46754438437325e-22,-1.54074395550979e-22,-4.51107853581715e-18,199999933387.913,-198456750098.476,6.50517593065601e-25,0.1,6.50517593065601e-24,1.5581003496113e-23,-6.58084750521797e-22
0.002,2.77777685260993e-10,-2.75634375136774e-10,1.66666611156595e-06,-1.65380625082064e-06,0.00833333055782975,-0.00826903125410319,33.333322231319,-33.0761250164127,99999.9666939569,-99228.3750492381,199999933.387918,-198456750.098476,199999906178.18,-195964578017.471,2.75634375136774e-10,0.1,2.75634375136774e-09,1.09615147705704e-10,-1.08769366103606e-10
0.003,1.77777718189122e-08,-1.7637138658641e-08,5.33333153433628e-05,-5.29010319255853e-05,0.133333287791538,-0.132200659562276,266.666573315598,-264.193638117801,399999.853170959,-395667.41415645,399999839.566098,-394421328.115947,199999857918.435,-56469194991.8626,1.7637138658641e-08,0.1,1.7637138658641e-07,7.01136986660579e-09,-6.95590481980508e-09
0.004,2.02499930069593e-07,-2.00522189479971e-07,0.000404999857452434,-0.0004000478782026,0.674999755033566,-0.662317775902287,899.999655922679,-866.483248830868,899999.621696275,-818323.339768328,599999697.484517,-450890523.107809,199999755479.003,192131579618.74,2.00522189479971e-07,0.0999999999999985,2.00522189479974e-06,7.98071228784404e-08,-7.9027516763122e-08
0.005,1.13777736684714e-06,-1.1137302078723e-06,0.0017066660294209,-0.00164918051044771,2.1333324945301,-2.00510563265117,2133.33241894105,-1878.22992021664,1599999.1969203,-1173148.07306677,799999452.963527,-258758943.489069,199999431542.692,194299884164.83,1.1137302078723e-06,0.0999999999999515,1.11373020787284e-05,4.4802705602597e-07,-4.38549139928584e-07
0.006,4.34027611899122e-06,-4.12926948797167e-06,0.00520833123871124,-0.00479808823899567,5.2083310637395,-4.50494025147585,4166.66458093357,-3148.37415100047,2499998.36565517,-1334757.07447342,999998884.506219,-64459059.3242385,169230381638.494,194208938463.989,4.12926948797167e-06,0.0999999999992936,4.12926948800084e-05,1.70739297919432e-06,-1.62425615563895e-06
0.007,1.29599519511977e-05,-1.1760439180166e-05,0.0129597378605615,-0.011100742464702,10.7987125741533,-8.32334407716441,7194.86745244827,-4482.99259872535,3584612.44098064,-1302111.66456566,1169229266.14471,129749879.139751,-199999190101.999,192884933010.902,1.1760439180166e-05,0.0999999999937015,0.000117604391809068,5.09246167939157e-06,-4.62014498402947e-06
0.008,3.26770153265164e-05,-2.78229246245282e-05,0.0280003707939409,-0.0218755878325841,19.9724244918618,-13.4277306561072,11330.7613281509,-5688.08183488599,4653842.11207435,-1075919.31892046,969230076.042714,322634812.150652,-199999494555.758,189492619786.903,2.78229246245282e-05,0.0999999999599584,0.00027822924635669,1.28237175217004e-05,-1.09139581382297e-05
0.009,7.27537678159743e-05,-5.74022695883065e-05,0.0544525342259376,-0.0383116570702832,33.7833119097838,-19.5921041559372,16435.885229154,-6571.10164443331,5523072.44083919,-658538.196876359,769230581.486956,512127431.937555,-199999556495.245,179132765244.782,5.74022695883065e-05,0.0999999998015132,0.000574022697022424,2.85109426991667e-05,-2.24772185841208e-05
