time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,5.17627521413472e-13,6.51492624366325e-14,3.23790141484916e-11,-5.26777629913282e-13,5.28410973487774e-10,-4.61000722486807e-11,4.67760924292192e-09,-2.57488987464336e-10,4.39616196718935e-08,-2.04037503818695e-09,0.143641094024485,-0.00576910639022419,0.000126468409339496,-4.97844720216891e-06,6.51492624366325e-14,0.1,6.51492624366325e-13,4.69597756864168e-19,1.50305821599089e-15
0.001,1.06790015202423e-12,1.29748606131569e-13,6.49843268492575e-11,-1.14074308512884e-12,1.07385033328985e-09,-9.32589541626767e-11,8.10107104218176e-08,-3.38316206914057e-09,0.000143723478936475,-5.77288548840954e-06,0.253699049457615,-0.00999827894743115,199999950643.775,-199918519331.143,1.29748606131569e-13,0.1,1.29748606131569e-12,-1.49908375863105e-16,3.00825067010581e-15
0.002,2.7942877966315e-10,-2.77470900573854e-10,1.66676415986391e-06,-1.66598950637943e-06,0.00833333305113523,-0.00832993845236113,33.3333254631438,-33.3197532362331,99999.9757193437,-99959.2596813441,199999950.978387,-199918519.34407,199999930269.339,-199873971801.058,2.77470900573854e-10,0.1,2.77470900573854e-09,1.09614928429184e-10,-1.09566047629689e-10
0.003,1.77800409304297e-08,-1.77702162431128e-08,5.33334514248025e-05,-5.33112365770254e-05,0.133333302458836,-0.133277156957044,266.666598387315,-266.550601223324,399999.891832492,-399814.764925944,399999881.303847,-399792491.146976,199999894130.597,-199778738867.864,1.77702162431128e-08,0.1,1.77702162431128e-07,7.01137052657872e-09,-7.00848546866084e-09
0.004,2.02502866411243e-07,-2.02413089455408e-07,0.000405000060406163,-0.000404822332278063,0.674999823051119,-0.674691336665665,899.999746564033,-899.558068200918,899999.720201662,-899496.625506853,599999775.469753,-599571230.01581,199999817415.745,-199476057249.183,2.02413089455408e-07,0.0999999999999985,2.02413089455411e-06,7.98071311485951e-08,-7.97730156934614e-08
0.005,1.1377810777259e-06,-1.13725987267629e-06,0.00170666639675951,-0.00170585324308677,2.1333327184914,-2.1322377583859,2133.33265740687,-2132.08631825737,1599999.40437931,-1598805.88414725,799999592.903891,-799047287.265271,199999574814.406,134758790060.271,1.13725987267629e-06,0.0999999999999515,1.13725987267684e-05,4.48027101615938e-07,-4.47823401289552e-07
0.006,4.34028087657026e-06,-4.33766812376346e-06,0.00520833202138556,-0.00520277245578253,5.20833165964959,-5.1912866170526,4166.66512071069,-4107.95604769404,2499998.78469041,-2330473.77638239,999999167.723453,-664288497.20475,169230477894.055,199256711665.047,4.33766812376346e-06,0.0999999999992936,4.3376681237941e-05,1.70739315671503e-06,-1.70636643383521e-06
0.007,1.29599584169501e-05,-1.29231052302651e-05,0.0129597396216932,-0.012862467608344,10.7987139710211,-10.5668919395293,7194.86856891514,-6737.36462073476,3584613.1913609,-2895133.91775462,1169229645.61292,-465031785.539076,-199999393871.142,199542377415.276,1.29231052302651e-05,0.0999999999937015,0.000129231052310791,5.09246223630535e-06,-5.07793893789882e-06
0.008,3.26770249896848e-05,-3.23161415492754e-05,0.0280003746792435,-0.0272982776499713,19.9724274355795,-18.8210145510483,11330.7633507738,-9831.75736835648,4653843.14003826,-3260394.51458606,969230251.730752,-265489408.122927,-199999621866.755,199618915797.356,3.23161415492754e-05,0.0999999999599584,0.000323161415622153,1.28237190298088e-05,-1.26815210889295e-05
0.009,7.27537837351547e-05,-7.08013375723623e-05,0.0544525422734258,-0.0515879685395622,33.7833174145109,-30.318899956602,16435.8883463692,-13191.6267677045,5523073.58083563,-3426074.4648103,769230629.849671,-65870492.3245661,-199999668227.226,199635599343.9,7.08013375723623e-05,0.0999999998015131,0.000708013377128937,2.8510946343871e-05,-2.77422089835243e-05
0.01,0.000147073560501659,-0.000139890385238164,0.0974047007661819,-0.0890747752656045,53.1006143371806,-45.2262242221676,22310.2439640946,-16617.3638787866,6192304.37657169,-3392127.15746292,569230961.607775,133765107.020373,-199999641875.504,199618361822.695,0.000139890385238164,0.0999999991888911,0.00139890386372828,5.75450021764266e-05,-5.47196333655737e-05
0.011,0.000275009421444498,-0.000254487779870779,0.162714539136812,-0.14316779892191,78.5935489984908,-63.5090400634798,28753.8305478269,-19909.3387557689,6661535.51724171,-3158552.8695312,369231319.720049,333383468.844062,-199999504039.493,199568853786.235,0.000254487779870779,0.0999999971641282,0.00254487787087726,0.000107414496761356,-9.93525673410973e-05
0.012,0.000482093403819949,-0.000432856872880267,0.256808977333144,-0.217142379790894,110.731352545953,-84.9337759736718,35566.6484742579,-22867.9384152471,6930767.084942,-2725384.97379402,169231815.673407,532952322.631181,-199998621555.729,199474054875.887,0.000432856872880267,0.0999999912858737,0.00432856910599965,0.000187934776633975,-0.000168619698591012
0.013,0.000800485747140547,-0.000696386303052643,0.386484166662465,-0.313940487171645,149.783256589782,-109.067270069796,42548.6983634463,-25293.6015519129,6999999.58983753,-2092695.62372489,-30766805.8819326,732426377.507793,61527041667.5108,199295093603.765,0.000696386303052643,0.099999975977258,0.00696386470343768,0.000311388331267629,-0.000270616930285496
0.014,0.00126924448805652,-0.00106915684075179,0.558707669835331,-0.435971162064272,195.829390574278,-135.276844408457,49543.5690572896,-26986.86813795,6999996.30478935,-1260621.69941522,30760235.785561,931721471.112091,-61516442282.0202,198909207398.072,0.00106915684075179,0.0999999396137502,0.010691574863759,0.000492576434585191,-0.000414351917383507
0.015,0.00193441595261466,-0.00157730872160722,0.780476280056152,-0.584911064854719,248.875521305196,-162.730448600657,56548.6927395934,-27748.4775672428,6999998.3194339,-229445.624604087,-30756206.4960948,1130630678.51049,61506160116.2729,197698385512.998,0.00157730872160722,0.099999859766791,0.0157731093352096,0.000748790139181385,-0.000609456886106438
0.016,0.00284904627168445,-0.00224820962068927,1.05879204518775,-0.761505236079459,308.921649927117,-190.396973101088,63543.5639824671,-27379.6581216728,6999995.19299594,1000034.2466629,30749953.6201358,1328329064.02359,-61494055650.9131,29107074456.9061,0.00224820962068927,0.099999695899149,0.0224821645753465,0.00109974041013122,-0.000865821133180005
0.017,0.00407318157365805,-0.00310942384167876,1.40065291179619,-0.96536977626487,375.967774246378,-217.054013127357,70548.6851429997,-25710.6081639219,6999998.11879062,2342916.84791495,-30744102.0304356,1357436138.48041,61478620677.075,-197171864366.267,0.00310942384167876,0.0999993786894122,0.0310944316097834,0.0015674744333046,-0.00119314508157491
0.018,0.00567386798305996,-0.00418749706614947,1.81306092631144,-1.19483369059389,450.013896041297,-241.375139005289,77543.5576475562,-22721.8352241611,6999993.32709872,3601767.05421222,30734518.6465729,1160264274.11387,-61459922824.3197,-198355023675.825,0.00418749706614947,0.0999987950540488,0.0418754752383381,0.002176282850528,-0.00160042350510135
0.019,0.00772515162133288,-0.00550664583171509,2.30301403519629,-1.44692276131731,531.060011942384,-262.110978116009,84548.6749135089,-18572.9952035045,6999997.88433313,4662853.81648817,-30725404.1774256,961909250.437628,61434190578.8966,-198665050228.155,0.00550664583171509,0.0999977678389829,0.0550676875166046,0.00295259838403126,-0.00209539529211765
0.02,0.0103080786046957,-0.00708751755566339,2.87751428266191,-1.71750467072364,619.106124655618,-278.200505913319,91543.5491275178,-13462.2976035022,6999989.57544515,5525430.54181172,30708786.4013805,763244200.208968,-61401506997.1107,-198696619541.239,0.00708751755566339,0.0999960290730829,0.0708779900698199,0.00392488627265096,-0.00268402735977811
0.021,0.0135106950452499,-0.00894612988487239,3.54355961468975,-2.00148527431328,714.152228306105,-288.781159905056,98548.6595116654,-7588.36106484276,6999997.60834797,6189326.43225007,-30692720.595427,564547580.667195,61346800796.8344,-198478320677.467,0.00894612988487239,0.0999931856198167,0.0894673954971932,0.00512352697134557,-0.00337007753449377
0.022,0.0174280470471939,-0.011093008148417,4.3081520714051,-2.29300719151695,816.198327285506,-293.189036420383,105543.535226516,-1149.84056237192,6999978.28815096,6654634.85257853,30654080.2012924,366069259.989242,-61270174941.7716,-197610450132.406,0.011093008148417,0.0999886760383502,0.110942644586696,0.00658069159587085,-0.00415474532096894
0.023,0.022162180708079,-0.0135325214456023,5.17828959604548,-2.58564843627914,925.244407745794,-290.958781781915,112548.628858945,5654.89384517926,6999997.28088137,6921898.88750157,-30616094.7401895,168458809.8565,29683080583.5902,-183091658748.403,0.0135325214456023,0.0999817174808176,0.135349959838393,0.00833021062240166,-0.00503641192559999
0.024,0.0278221420659705,-0.0162624172284165,6.16097395614733,-2.87262062797213,1041.28916935802,-281.822490843814,119538.265272555,12630.5068611511,6984222.72643297,6998811.86798387,-933014.156739089,-14632848.8916141,33417102583.4868,-21787597171.7199,0.0162624172284165,0.0999712415195288,0.162670953978697,0.010407436356518,-0.00601047027930113
0.025,0.0345239746994444,-0.0192735525523083,7.26319653488736,-3.14696218800759,1164.32078287097,-265.69592467339,126527.591009007,19618.371038494,6999998.26356797,6973285.22050639,32484088.4270218,-36420446.0634893,-199991640356.457,-196326906795.829,0.0192735525523083,0.0999558179350628,0.192820717697788,0.0128490988216319,-0.00706924478365236
0.026,0.0423907112176486,-0.02254980299671,8.49194746657085,-3.40168986653605,1294.34545404174,-242.60516138679,133510.49937673,26540.7248848361,6932486.53181677,6838701.32104499,-167507551.930839,-232747352.860044,-199997370162.777,-197815571521.837,0.02254980299671,0.0999335657218169,0.225647937545644,0.0156931541729563,-0.00820199337961286
0.027,0.0515523703415892,-0.0260680892581435,9.85419493862059,-3.629896228198,1431.28594553555,-212.692119382407,140325.899237555,33230.0832675309,6664980.29480454,6507046.18242403,-367504922.096053,-430562924.382991,-199998096070.581,-198196271497.919,0.0260680892581435,0.0999020508416636,0.2609364776651,0.0189786308596052,-0.00939496807519818
0.028,0.0621458702705642,-0.0297985259351289,11.3567376844916,-3.82490839000869,1574.87475084639,-176.288531689057,146773.7940553,39488.8152758473,6197476.3246732,5977385.12229208,-567503018.16956,-628759195.882272,-199998257572.238,-198254585612.334,0.0297985259351289,0.0998581710820217,0.298408488882226,0.0227454389384771,-0.0106315353382619
